iter	Passed	Remaining
399	18071	27106
400	18100	27038
401	18126	26964
402	18145	26879
403	18191	26836
404	18218	26764
405	18236	26680
406	18256	26600
407	18268	26507
408	18281	26416
409	18294	26325
410	18305	26232
411	18317	26142
412	18331	26054
413	18344	25966
414	18357	25877
415	18370	25788
416	18381	25699
417	18393	25609
418	18403	25519
419	18418	25434
420	18433	25351
421	18447	25266
422	18456	25175
423	18464	25083
424	18473	24993
425	18481	24902
426	18497	24821
427	18511	24739
428	18521	24652
429	18534	24569
430	18550	24490
431	18559	24401
432	18568	24315
433	18578	24228
434	18586	24140
435	18593	24052
436	18603	23968
437	18613	23883
438	18623	23798
439	18632	23713
440	18642	23631
441	18653	23548
442	18662	23464
443	18673	23383
444	18684	23302
445	18695	23222
446	18705	23140
447	18713	23057
448	18722	22975
449	18730	22892
450	18740	22812
451	18748	22730
452	18759	22652
453	18771	22575
454	18781	22496
455	18790	22416
456	18801	22339
457	18811	22262
458	18823	22186
459	18834	22109
460	18842	22030
461	18859	21962
462	18872	21888
463	18883	21814
464	18916	21764
465	19000	21772
466	19012	21699
467	19022	21623
468	19032	21548
469	19042	21473
470	19053	21399
471	19063	21325
472	19105	21286
473	19144	21244
474	19195	21215
475	19204	21141
476	19216	21069
477	19227	20997
478	19238	20925
479	19247	20851
480	19261	20782
481	19271	20710
482	19283	20641
483	19293	20569
484	19306	20500
485	19318	20431
486	19331	20363
487	19342	20294
488	19356	20227
489	19365	20156
490	19379	20089
491	19403	20034
492	19417	19968
493	19432	19904
494	19453	19846
495	19464	19778
496	19473	19708
497	19486	19642
498	19505	19583
499	19515	19515
500	19527	19449
501	19542	19386
502	19562	19329
503	19581	19270
504	19592	19204
505	19603	19138
506	19613	19071
507	19625	19007
508	19640	18946
509	19651	18881
510	19663	18816
511	19679	18757
512	19693	18695
513	19703	18629
514	19712	18564
515	19726	18503
516	19735	18438
517	19745	18372
518	19755	18308
519	19765	18244
520	19774	18180
521	19782	18114
522	19790	18049
523	19798	17984
524	19807	17920
525	19819	17859
526	19828	17796
527	19838	17734
528	19849	17673
529	19859	17611
530	19869	17549
531	19884	17492
532	19894	17430
533	19903	17369
534	19913	17307
535	19925	17248
536	19939	17191
537	19953	17135
538	19977	17086
539	19994	17032
540	20007	16975
541	20023	16920
542	20037	16864
543	20047	16804
544	20058	16746
545	20077	16694
546	20089	16636
547	20098	16577
548	20109	16519
549	20119	16461
550	20129	16402
551	20139	16344
552	20151	16288
553	20164	16233
554	20177	16178
555	20191	16124
556	20202	16067
557	20213	16011
558	20222	15954
559	20234	15898
560	20248	15845
561	20259	15789
562	20272	15735
563	20283	15680
564	20295	15625
565	20306	15570
566	20317	15515
567	20328	15460
568	20344	15410
569	20356	15356
570	20371	15305
571	20380	15250
572	20390	15194
573	20400	15140
574	20408	15084
575	20417	15029
576	20427	14975
577	20439	14923
578	20449	14869
579	20459	14815
580	20469	14762
581	20481	14710
582	20491	14657
583	20503	14605
584	20516	14554
585	20527	14502
586	20537	14449
587	20548	14397
588	20560	14346
589	20571	14295
590	20582	14243
591	20593	14192
592	20608	14144
593	20619	14093
594	20630	14042
595	20639	13990
596	20650	13939
597	20663	13890
598	20679	13843
599	20694	13796
600	20708	13747
601	20718	13697
602	20732	13649
603	20750	13604
604	20763	13556
605	20779	13510
606	20790	13460
607	20799	13409
608	20810	13361
609	20820	13311
