iter	Logloss
0	0.6649887258
1	0.6384545569
2	0.6133920712
3	0.5910926412
4	0.5705181199
5	0.5534369333
6	0.5351842913
7	0.5182055726
8	0.5052347196
9	0.4926980109
10	0.4796545277
11	0.4697543771
12	0.4603990179
13	0.4501835011
14	0.440410459
15	0.4328674397
16	0.4238871044
17	0.4166906886
18	0.409198663
19	0.4022303579
20	0.3965486175
21	0.3889618849
22	0.3840336352
23	0.379038305
24	0.3740769774
25	0.3695057138
26	0.3654625113
27	0.3612027402
28	0.3581369955
29	0.3540580593
30	0.3507665417
31	0.3472827852
32	0.3445215254
33	0.3418767084
34	0.3392410199
35	0.3371456274
36	0.3354620093
37	0.3329672965
38	0.3305380464
39	0.328123281
40	0.32653611
41	0.3241902149
42	0.3221816387
43	0.320968464
44	0.3186522428
45	0.3167747236
46	0.3154768167
47	0.3129086158
48	0.3114646322
49	0.3095971874
50	0.3073081124
51	0.3063653109
52	0.3047987317
53	0.3029759559
54	0.3022344888
55	0.3011438716
56	0.3000507143
57	0.2991312603
58	0.2978843651
59	0.2972474212
60	0.2963187322
61	0.2952859377
62	0.2941081967
63	0.2930592777
64	0.2919935978
65	0.2906829701
66	0.2898699577
67	0.2893403014
68	0.2882835601
69	0.2874612802
70	0.2865002244
71	0.2857252614
72	0.2852088764
73	0.284298193
74	0.2832767167
75	0.2824316112
76	0.2813488244
77	0.2807110574
78	0.2801389976
79	0.2797970053
80	0.2788734165
81	0.2780491721
82	0.2772206191
83	0.2767658886
84	0.2761147791
85	0.2755025407
86	0.2748590795
87	0.2742189642
88	0.2735139944
89	0.2726851636
90	0.2717982758
91	0.2703003179
92	0.2700106754
93	0.2695136345
94	0.2690664733
95	0.2685735082
96	0.2679803712
97	0.2674670958
98	0.2668872848
99	0.2665403755
100	0.2661950474
101	0.2656307097
102	0.265317732
103	0.2648081949
104	0.2645937188
105	0.2643127765
106	0.2634632556
107	0.2627467501
108	0.262506356
109	0.262340449
110	0.2618749547
111	0.2613922415
112	0.2611014734
113	0.2608472429
114	0.2600736668
115	0.2597003067
116	0.2590631829
117	0.2588296103
118	0.2583151769
119	0.2580150101
120	0.2575324283
121	0.2571955374
122	0.2567698598
123	0.256347601
124	0.2559910212
125	0.2556600283
126	0.255328953
127	0.2546720114
128	0.2542942939
129	0.2538620366
130	0.2532842222
131	0.2528647792
132	0.2525415185
133	0.2519579834
134	0.251471047
135	0.2511765474
136	0.2507515217
137	0.2503605862
138	0.2499718163
139	0.2492925257
140	0.2490709307
141	0.2488135554
142	0.2483938327
143	0.2482015161
144	0.2480121447
145	0.2477035654
146	0.2475825937
147	0.2471521025
148	0.246679171
149	0.2465096956
150	0.2463165014
151	0.2460576167
152	0.2455950675
153	0.2449022246
154	0.2445769937
155	0.2442075533
156	0.2440943306
157	0.2436722935
158	0.2432505681
159	0.2430065557
160	0.2427173991
161	0.2422354213
162	0.2420069726
163	0.2418369907
164	0.2415881006
165	0.241238215
166	0.240958236
167	0.2408405897
168	0.2407173536
169	0.2405493798
170	0.2401953174
171	0.2399520452
172	0.2398044614
173	0.2390907023
174	0.2389610182
175	0.2387960517
176	0.2382679972
177	0.2378936398
178	0.2376597827
179	0.2370343249
180	0.2367763502
181	0.236629108
182	0.2364777831
183	0.2364086228
184	0.2361998507
185	0.2360324997
186	0.2358170658
187	0.2356159799
188	0.235450789
189	0.2352257168
190	0.2347988344
191	0.2346338478
192	0.2343175278
193	0.2341705883
194	0.2340715843
195	0.2337809928
196	0.2335792395
197	0.2332947224
198	0.2331350506
199	0.2328645112
200	0.2325352523
201	0.2323381066
202	0.2322241522
203	0.232035081
204	0.2318683686
205	0.2317433648
206	0.2316126027
207	0.2314071439
208	0.2312769437
209	0.2310768359
210	0.2309672216
211	0.2307905931
212	0.2305031509
213	0.2301893705
214	0.2301086101
215	0.2294393759
216	0.2293135089
217	0.2290140771
218	0.2288989994
219	0.228828026
220	0.2287037624
221	0.2285668417
222	0.2284521199
223	0.2282795826
224	0.2281048063
225	0.2279275807
226	0.2275576955
227	0.2274347927
228	0.2273039024
229	0.2270617444
230	0.2269590271
231	0.2266505961
232	0.2265759211
233	0.2264727414
234	0.2262368844
235	0.2261474384
236	0.2259158948
237	0.2256724112
238	0.2251816099
239	0.2250511466
240	0.2249258243
241	0.2248135554
242	0.2246975348
243	0.2245861312
244	0.2244463824
245	0.2243753003
246	0.2242839285
247	0.2240134734
248	0.2238379981
249	0.2236489632
250	0.2235842816
251	0.2234649105
252	0.2233957072
253	0.2232881555
254	0.2231479195
255	0.2229692394
256	0.2227828956
257	0.2227055147
258	0.2225448898
259	0.2224718069
260	0.2223499046
261	0.2221418944
262	0.22197867
263	0.2218315597
264	0.2213234774
265	0.2212118369
266	0.2211259244
267	0.220889489
268	0.2207637632
269	0.2205183039
270	0.2204577834
271	0.2203074095
272	0.2201454872
273	0.2200254003
274	0.219865539
275	0.2197158161
276	0.2195875371
277	0.2194339295
278	0.2193600984
279	0.2191522873
280	0.2190426563
281	0.2188774855
